id	trait	mesh_term	mesh_id	sample_size	n_case	n_control	population	author	pmid	year	n_blocks	n_variants	n_sig	source	source_acc_id	analysis	causaldb_id	causaldb_fn
c4d6c85f-2b54-40ec-b8e0-6d65f487f1eb	body weights and measures	Abdomen	D000005	32860			1	Liu Y	34128465	2021	13	9345688	959	Causal DB/GWAS Catalog	GCST90016666	Finemapping	5087	GD09064
47a394c9-a61c-417c-9d0d-7f532a7fc65f	body weights and measures	Abdomen	D000005	32860			1	Liu Y	34128465	2021	35	9345106	2829	Causal DB/GWAS Catalog	GCST90016667	Finemapping	5088	GD09065
9ecb7b7b-29fb-4fc2-83c2-1d3b330ad085	body weights and measures	Abdomen	D000005	32860			1	Liu Y	34128465	2021	7	9345537	201	Causal DB/GWAS Catalog	GCST90016668	Finemapping	5089	GD09066
a014747b-84d4-4d31-b79a-511945ce26a7	body weights and measures	Abdomen	D000005	31758			1	Liu Y	34128465	2021	17	9344965	458	Causal DB/GWAS Catalog	GCST90016669	Finemapping	5090	GD09067
9b4d621e-9503-4706-8572-9fcc97963463	body weights and measures	Abdomen	D000005	32860			1	Liu Y	34128465	2021	12	9346135	692	Causal DB/GWAS Catalog	GCST90016670	Finemapping	5091	GD09068
6865e494-1b16-483c-aaa4-8e5cb42648a0	Pain type(s) experienced in last month: Stomach or abdominal pain	Abdominal Pain	D015746	385698	32823.0	352875.0	1	CTGLAB	31427789	2019	2	10599048	2	TBD	TBD	Finemapping	2535	GA388
ca0fcb20-e395-40c8-8e0a-172c75613337	R10 Abdominal and pelvic pain	Abdominal Pain	D015746	300791	22020.0	278771.0	1	CTGLAB	31427789	2019	1	10359876	5	TBD	TBD	Finemapping	2536	GA497
19e233fc-8453-4797-8ffb-50fca5d0cd94	R10 Abdominal and pelvic pain	Abdominal Pain	D015746	244890	9250.0	235640.0	1	CTGLAB	31427789	2019	2	10150624	5	TBD	TBD	Finemapping	2537	GA517
b42d8185-a739-4fa4-88e2-9cd90b0f940f	R10 Abdominal and pelvic pain	Abdominal Pain	D015746	361194	20240.0	340954.0	1	Nealelab	Nealelab	2018	2	10816317	2	TBD	TBD	Finemapping	2976	BE001
fc1945f7-0a7b-4e63-92a0-e1f289d26d62	O03 Spontaneous abortion	Abortion, Spontaneous	D000022	245494	1484.0	450780.0	1	Roslin Institute	30349118	2018	3	9124412	6	TBD	TBD	Finemapping	1228	AT289
8da8a55a-bf26-4da2-96cb-d78015b9e887	Ever had stillbirth, spontaneous miscarriage or termination (female)	Abortion, Spontaneous	D000022	205422	65775.0	139647.0	1	CTGLAB	31427789	2019	1	9990728	0	TBD	TBD	Finemapping	2017	GA160
4665b11d-9940-4548-80ab-cbe500575d45	Number of spontaneous miscarriages (female)	Abortion, Spontaneous	D000022	65473			1	CTGLAB	31427789	2019	1	9110820	0	TBD	TBD	Finemapping	2018	GA192
69cf0d54-2e05-46fa-8851-511bd86e6aea	O03 Spontaneous abortion	Abortion, Spontaneous	D000022	361194	1150.0	360044.0	1	Nealelab	Nealelab	2018	6	10816317	10	TBD	TBD	Finemapping	2616	BE174
45a870c8-002c-4375-bb31-ff42a0a3b2c0	O04 Medical abortion	Abortion, Therapeutic	D000032	245494	1186.0	451078.0	1	Roslin Institute	30349118	2018	3	9124412	4	TBD	TBD	Finemapping	1229	AT287
f3201fe2-524b-4c47-8245-7fd3a9b023b3	R22 Localised swelling, mass and lump of skin and subcutaneous tissue	Abscess	D000038	361194	1358.0	359836.0	1	Nealelab	Nealelab	2018	6	10816317	14	TBD	TBD	Finemapping	2617	BE155
9b581ae6-1b3b-4377-92a8-14a399edcac3	Falls in the last year	Accidental Falls	D000058	385553			1	CTGLAB	31427789	2019	4	10599054	31	TBD	TBD	Finemapping	2019	GA132
ebeb50b7-61b0-446f-9c6f-b2425e069b77	Acetoacetate	Acetoacetates	D000090	19262			1	Kettunen	27005778	2016	3	11808719	5	TBD	TBD	Finemapping	718	LD087
809a7b45-ff14-40be-a2a8-fdd95bf4bee2	Acetate	Acetoacetates	D000090	24748			1	Kettunen	27005778	2016	1	12081071	1	TBD	TBD	Finemapping	719	LD088
c798489e-fc38-4198-be70-5177b92d37ad	Addison's disease	Addison Disease	D000224	5320	1223.0	4097.0	1	Eriksson D	33574239	2021	18	7064692	18343	Causal DB/GWAS Catalog	GCST90011871	Finemapping	4458	GD03574
